date_key,full_date,day_of_week,is_weekday
20260916,2026-09-16,Wednesday,True
20260917,2026-09-17,Thursday,True
20260918,2026-09-18,Friday,True
20260919,2026-09-19,Saturday,False
20260920,2026-09-20,Sunday,False
20260921,2026-09-21,Monday,True
20260922,2026-09-22,Tuesday,True
20260923,2026-09-23,Wednesday,True
20260924,2026-09-24,Thursday,True
20260925,2026-09-25,Friday,True
20260926,2026-09-26,Saturday,False
20260927,2026-09-27,Sunday,False
20260928,2026-09-28,Monday,True
20260929,2026-09-29,Tuesday,True
20260930,2026-09-30,Wednesday,True
20261001,2026-10-01,Thursday,True
20261002,2026-10-02,Friday,True
20261003,2026-10-03,Saturday,False
20261004,2026-10-04,Sunday,False
20261005,2026-10-05,Monday,True
20261006,2026-10-06,Tuesday,True
20261007,2026-10-07,Wednesday,True
20261008,2026-10-08,Thursday,True
20261009,2026-10-09,Friday,True
20261010,2026-10-10,Saturday,False
20261011,2026-10-11,Sunday,False
20261012,2026-10-12,Monday,True
20261013,2026-10-13,Tuesday,True
20261014,2026-10-14,Wednesday,True
20261015,2026-10-15,Thursday,True
