route_key,route_id,route_short_name,route_long_name,mode,operator
-3402953319642480407,APS_1a,T8,City Circle to Macarthur via Airport,train,SydneyTrains
3528247148565883103,APS_1b,T8,City Circle to Leppington via Airport,train,SydneyTrains
-6417094206083242795,APS_1c,T8,City Circle to Macarthur via Sydenham,train,SydneyTrains
3077076688999136044,APS_1d,T8,City Circle to Macarthur via Sydenham,train,SydneyTrains
3446910552962544978,APS_1e,T8,City Circle to Leppington via Sydenham,train,SydneyTrains
-2261129489481632198,APS_1f,T8,City Circle to Leppington via Sydenham,train,SydneyTrains
-8074707193682375787,APS_2a,T8,Macarthur to City Circle via Airport,train,SydneyTrains
-4997717676751494424,APS_2b,T8,Leppington to City Circle via Airport,train,SydneyTrains
2798141468541829682,APS_2c,T8,Macarthur to City Circle via Sydenham,train,SydneyTrains
3209398359404724700,APS_2d,T8,Macarthur to City Circle via Sydenham,train,SydneyTrains
-3879013211178800379,APS_2e,T8,Leppington to City Circle via Sydenham,train,SydneyTrains
4089134572644777184,APS_2f,T8,Leppington to City Circle via Sydenham,train,SydneyTrains
-2224808403655777439,BMT_1,BMT,Central to Lithgow and Bathurst,train,NSWTrains
2347072026132267080,BMT_2,BMT,Bathurst and Lithgow to Central,train,NSWTrains
6945390360945871574,CCN_1a,CCN,Central to Newcastle Interchange via Strathfield,train,NSWTrains
-5236434750823934246,CCN_1b,CCN,Central to Newcastle Interchange via Gordon,train,NSWTrains
7107036069782603127,CCN_1c,CCN,Central to Newcastle Interchange via Strathfield,train,NSWTrains
-5978113767534294052,CCN_2a,CCN,Newcastle Interchange to Central via Strathfield,train,NSWTrains
627028831985276158,CCN_2b,CCN,Newcastle Interchange to Central via Gordon,train,NSWTrains
8502485376767781749,CMB_1a,T5,Richmond to Leppington,train,SydneyTrains
-2936976510359900114,CMB_1b,T5,Emu Plains to Leppington,train,SydneyTrains
3823480081110772338,CMB_1c,T5,Richmond to Campbelltown,train,SydneyTrains
1150323432029512968,CMB_1d,T5,Emu Plains to Campbelltown,train,SydneyTrains
1644696160033301445,CMB_2a,T5,Leppington to Richmond,train,SydneyTrains
299721892419967497,CMB_2b,T5,Leppington to Emu Plains,train,SydneyTrains
2372143633426116796,CMB_2c,T5,Campbelltown to Richmond,train,SydneyTrains
-1209867813534204200,CMB_2d,T5,Campbelltown to Emu Plains,train,SydneyTrains
1184616885625128427,CTY_NC1,NRC,Sydney (Central) to Brisbane (Roma Street),train,NSWTrains
3536717535841731573,CTY_NC1a,NRC,Sydney (Central) to Brisbane (Roma Street),train,NSWTrains
3125284625347028980,CTY_NC2,NRC,Brisbane (Roma Street) to Sydney (Central),train,NSWTrains
349349202673074924,CTY_NW1a,NRW,Sydney (Central) to Moree,train,NSWTrains
146078348818404321,CTY_NW1b,NRW,Sydney (Central) to Armidale,train,NSWTrains
-2181837974631116373,CTY_NW1c,NRW,Sydney (Central) to Moree,train,NSWTrains
2374307585160416464,CTY_NW1d,NRW,Sydney (Central) to Armidale,train,NSWTrains
-7077664516542904908,CTY_NW2a,NRW,Moree to Sydney (Central),train,NSWTrains
-6694969283083521557,CTY_NW2b,NRW,Armidale to Sydney (Central),train,NSWTrains
3178390953133347573,CTY_S1a,STH,Sydney (Central) to Canberra,train,NSWTrains
-2907830188417780527,CTY_S1b,STH,Sydney (Central) to Canberra,train,NSWTrains
-7312350344749849496,CTY_S1c,STH,Sydney (Central) to Canberra,train,NSWTrains
5403183006007911275,CTY_S1d,STH,Sydney (Central) to Griffith,train,NSWTrains
-6724435471239829749,CTY_S1e,STH,Sydney (Central) to Griffith,train,NSWTrains
5840801060723246285,CTY_S1f,STH,Sydney (Central) to Griffith,train,NSWTrains
-1473001782055765435,CTY_S1g,STH,Sydney (Central) to Melbourne (Southern Cross),train,NSWTrains
2896041600508337517,CTY_S1h,STH,Sydney (Central) to Melbourne (Southern Cross),train,NSWTrains
-6221745689490968550,CTY_S1i,STH,Sydney (Central) to Melbourne (Southern Cross),train,NSWTrains
-8779489610683068226,CTY_S2a,STH,Canberra to Sydney (Central),train,NSWTrains
-8602333564475449223,CTY_S2b,STH,Canberra to Sydney (Central),train,NSWTrains
-2559971175246937751,CTY_S2c,STH,Canberra to Sydney (Central),train,NSWTrains
1325142259646214404,CTY_S2d,STH,Griffith to Sydney (Central),train,NSWTrains
8191261628825762145,CTY_S2e,STH,Griffith to Sydney (Central),train,NSWTrains
-5135391438917680237,CTY_S2f,STH,Griffith to Sydney (Central),train,NSWTrains
-7158105332023918754,CTY_S2g,STH,Melbourne (Southern Cross) to Sydney (Central),train,NSWTrains
-48845993722819194,CTY_S2h,STH,Melbourne (Southern Cross) to Sydney (Central),train,NSWTrains
-7491275462172734782,CTY_S2i,STH,Melbourne (Southern Cross) to Sydney (Central),train,NSWTrains
1515519714633596771,CTY_W1a,WST,Sydney (Central) to Dubbo,train,NSWTrains
1114505620833707795,CTY_W1b,WST,Sydney (Central) to Broken Hill,train,NSWTrains
5392373685123964025,CTY_W2a,WST,Dubbo to Sydney (Central),train,NSWTrains
