alert_id,cause,effect,header_text,description_text,route_id,route_key,active_period_start,active_period_end
b961cac8-0a10-51fd-96b1-9fe939e887d3,MAINTENANCE,MODIFIED_SERVICE,Buses replace trains between Leppington and Fairfield,"Wednesday 16 and Thursday 17 September
Nightly from 9:40PM to 1:30AM, buses replace trains between Leppington and Fairfield.
Trains run to a changed timetable between Fairfield and the City via Granville, and between Glenfield and the City via the Airport.
Some Inner West trains run to a changed timetable between Olympic Park or Homebush and the City.
Buses also replace T3 Liverpool & Inner West Line trains between Liverpool and Lidcombe.",IWL_2b,7400251048012378211,2026-09-16 11:40:00+00:00,2026-09-16 15:30:00+00:00
b961cac8-0a10-51fd-96b1-9fe939e887d3,MAINTENANCE,MODIFIED_SERVICE,Buses replace trains between Leppington and Fairfield,"Wednesday 16 and Thursday 17 September
Nightly from 9:40PM to 1:30AM, buses replace trains between Leppington and Fairfield.
Trains run to a changed timetable between Fairfield and the City via Granville, and between Glenfield and the City via the Airport.
Some Inner West trains run to a changed timetable between Olympic Park or Homebush and the City.
Buses also replace T3 Liverpool & Inner West Line trains between Liverpool and Lidcombe.",IWL_1b,6193968622723203843,2026-09-16 11:40:00+00:00,2026-09-16 15:30:00+00:00
43c708a8-065e-5d71-bc28-5c403486c3a5,MAINTENANCE,MODIFIED_SERVICE,Buses replace trains between Leppington and Fairfield,"Wednesday 16 and Thursday 17 September 
Nightly from 9:40PM to 1:30AM, buses replace trains between Leppington and Fairfield.
Trains run to a changed timetable between Fairfield and Richmond.",CMB_2c,2372143633426116796,2026-09-16 11:40:00+00:00,2026-09-16 15:30:00+00:00
43c708a8-065e-5d71-bc28-5c403486c3a5,MAINTENANCE,MODIFIED_SERVICE,Buses replace trains between Leppington and Fairfield,"Wednesday 16 and Thursday 17 September 
Nightly from 9:40PM to 1:30AM, buses replace trains between Leppington and Fairfield.
Trains run to a changed timetable between Fairfield and Richmond.",CMB_2a,1644696160033301445,2026-09-16 11:40:00+00:00,2026-09-16 15:30:00+00:00
871c63df-4862-5c7a-a1a1-fc9d6465d1bb,MAINTENANCE,MODIFIED_SERVICE,Trains may run to a changed timetable,"Saturday 19 September
From 9AM to 3PM, trains may run to a changed timetable due to trackwork between Revesby and Turrella.",APS_1a,-3402953319642480407,2026-09-18 23:00:00+00:00,2026-09-19 05:00:46+00:00
6d17c60f-f62e-519a-96dd-cea7953b1650,MAINTENANCE,MODIFIED_SERVICE,Buses replace the all-stations trains between Wolli Creek and Revesby,"Sunday 20 September
From 8:40AM to 3PM, buses replace the all-stations trains between Wolli Creek and Revesby.
Express trains continue to run but do not stop at stations between Padstow and Turrella.",APS_2d,3209398359404724700,2026-09-19 22:40:00+00:00,2026-09-20 05:00:07+00:00
6d17c60f-f62e-519a-96dd-cea7953b1650,MAINTENANCE,MODIFIED_SERVICE,Buses replace the all-stations trains between Wolli Creek and Revesby,"Sunday 20 September
From 8:40AM to 3PM, buses replace the all-stations trains between Wolli Creek and Revesby.
Express trains continue to run but do not stop at stations between Padstow and Turrella.",APS_2h,-4013274463802835251,2026-09-19 22:40:00+00:00,2026-09-20 05:00:07+00:00
6d17c60f-f62e-519a-96dd-cea7953b1650,MAINTENANCE,MODIFIED_SERVICE,Buses replace the all-stations trains between Wolli Creek and Revesby,"Sunday 20 September
From 8:40AM to 3PM, buses replace the all-stations trains between Wolli Creek and Revesby.
Express trains continue to run but do not stop at stations between Padstow and Turrella.",APS_1e,3446910552962544978,2026-09-19 22:40:00+00:00,2026-09-20 05:00:07+00:00
9f75f272-9f9e-5380-9282-df94e8dd6ffa,MAINTENANCE,MODIFIED_SERVICE,Buses replace trains between Bomaderry and Wollongong,"Friday 25 September
From 2:50PM, buses replace trains from Wollongong to Bomaderry.
From 3:50PM, buses replace trains from Bomaderry to Wollongong.
Trains run between Port Kembla, Wollongong and Bondi Junction, some to a changed timetable.
Buses do not run to the train timetable. If connecting with trains at Wollongong you may need to catch an earlier bus to ensure you meet your train connection.",SCO_2b,7005896456830233422,2026-09-25 04:50:00+00:00,2026-09-25 16:00:44+00:00
c06ef39b-1f78-5836-a122-fa5ee67a2ce4,MAINTENANCE,MODIFIED_SERVICE,"At Stanwell Park and Coalcliff, trains leave from different platforms","Saturday 26 September
From 7:30AM to 11:30AM, at Stanwell Park and Coalcliff, all trains leave from platform 1.
From 12PM to 4PM, at Coalcliff and Stanwell Park, all trains leave from platform 2.",SCO_1b,-3539652250674250885,2026-09-25 21:30:00+00:00,2026-09-26 06:00:35+00:00
