route_short_name,mode,total_delay_seconds,total_delay_minutes,trip_stop_count,pct_of_network_delay,cumulative_pct_of_network_delay
T8,train,263542.0,4392.4,2836,18.8,18.8
T2,train,199031.0,3317.2,3361,14.2,32.9
T5,train,194587.0,3243.1,752,13.9,46.8
T4,train,138677.0,2311.3,3203,9.9,56.7
SCO,train,133319.0,2222.0,1144,9.5,66.1
CCN,train,84609.0,1410.2,1546,6.0,72.2
T1,train,84407.0,1406.8,4063,6.0,78.2
T3,train,58223.0,970.4,700,4.1,82.3
STH,train,57652.0,960.9,96,4.1,86.4
BMT,train,47697.0,795.0,976,3.4,89.8
SHL,train,37487.0,624.8,354,2.7,92.5
T9,train,31875.0,531.3,1864,2.3,94.8
,train,30283.0,504.7,177,2.2,96.9
T6,train,27813.0,463.6,263,2.0,98.9
NRW,train,10195.0,169.9,33,0.7,99.6
NRC,train,2564.0,42.7,119,0.2,99.8
WST,train,1864.0,31.1,28,0.1,99.9
T7,train,836.0,13.9,80,0.1,100.0
